ParameterId;Date;Value
14;06.08.2011;0,7411608
15;06.08.2011;3,040942
20;06.08.2011;0,2199076
21;06.08.2011;4,780738
22;06.08.2011;4,927663
23;06.08.2011;2,867585
24;06.08.2011;625,4449
25;06.08.2011;0,1441065
26;06.08.2011;243,13
28;06.08.2011;24,13613
29;06.08.2011;62,5
30;06.08.2011;3252,059
31;06.08.2011;2,86425
34;06.08.2011;28,3909
35;06.08.2011;439,4149
36;06.08.2011;0,9849435
37;06.08.2011;0,9707956
38;06.08.2011;7,82168
39;06.08.2011;43,21429
40;06.08.2011;1,065993
41;06.08.2011;1,291688
42;06.08.2011;1,06715
43;06.08.2011;11,2
44;06.08.2011;0,45
45;06.08.2011;0,3
46;06.08.2011;0,5
47;06.08.2011;89,5
48;06.08.2011;7,9
49;06.08.2011;31,38979
50;06.08.2011;56,48275
51;06.08.2011;1864,28
52;06.08.2011;3,861521
53;06.08.2011;1259,632
54;06.08.2011;2142,356
55;06.08.2011;440,4427
1;06.08.2011;1,466899
2;06.08.2011;1,026829
3;06.08.2011;0,4400696
4;06.08.2011;1251,733
5;06.08.2011;230,695
6;06.08.2011;0,6
7;06.08.2011;20
8;06.08.2011;45,45454
9;06.08.2011;1,190898
10;06.08.2011;1,196429
11;06.08.2011;0,9997476
12;06.08.2011;0,5731596
13;06.08.2011;0,3690351
14;06.08.2011;0,7512472
15;06.08.2011;3,463137
20;06.08.2011;0,1851073
21;06.08.2011;4,576053
22;06.08.2011;4,679317
23;06.08.2011;2,907165
24;06.08.2011;623,5986
25;06.08.2011;0,1368437
26;06.08.2011;297,1281
28;06.08.2011;45,42101
29;06.08.2011;59,5
30;06.08.2011;3169,958
31;06.08.2011;2,70313
34;06.08.2011;27,36941
35;06.08.2011;436,7735
36;06.08.2011;0,9759797
37;06.08.2011;0,9429429
38;06.08.2011;8,03919
39;06.08.2011;34,3662
40;06.08.2011;1,033202
41;06.08.2011;1,243348
42;06.08.2011;1,030949
43;06.08.2011;11,3
44;06.08.2011;0,45
45;06.08.2011;0,3
46;06.08.2011;0,6
47;06.08.2011;89,2
48;06.08.2011;8,2
49;06.08.2011;34,96816
50;06.08.2011;56,38614
51;06.08.2011;1815,308
52;06.08.2011;4,030122
53;06.08.2011;1225,883
54;06.08.2011;2085,5
55;06.08.2011;422,1268
1;07.08.2011;1,425791
2;07.08.2011;0,9980535
3;07.08.2011;0,4277372
4;07.08.2011;1251,719
5;07.08.2011;229,8656
6;07.08.2011;0,4725
7;07.08.2011;20,3
8;07.08.2011;46,34703
9;07.08.2011;1,201018
10;07.08.2011;1,24362
11;07.08.2011;0,9997487
12;07.08.2011;0,5588156
13;07.08.2011;0,3597995
14;07.08.2011;0,7324463
15;07.08.2011;3,401061
20;07.08.2011;0,1834431
21;07.08.2011;4,32379
22;07.08.2011;4,603252
23;07.08.2011;2,866816
24;07.08.2011;638,2495
25;07.08.2011;0,1346193
26;07.08.2011;326,1033
28;07.08.2011;50,37321
29;07.08.2011;58,5
30;07.08.2011;3176,085
31;07.08.2011;2,77662
34;07.08.2011;27,49501
35;07.08.2011;441,68
36;07.08.2011;0,9885496
37;07.08.2011;0,9477912
38;07.08.2011;7,724851
39;07.08.2011;39,03226
40;07.08.2011;1,003804
41;07.08.2011;1,21164
42;07.08.2011;1,003339
43;07.08.2011;11,3
44;07.08.2011;0,45
45;07.08.2011;0,3
46;07.08.2011;0,6
47;07.08.2011;89,4
48;07.08.2011;8,1
49;07.08.2011;35,37555
50;07.08.2011;56,89614
51;07.08.2011;1813,256
52;07.08.2011;3,982085
53;07.08.2011;1206,981
54;07.08.2011;2040,398
55;07.08.2011;424,5258
1;07.08.2011;1,37963
2;07.08.2011;0,9657413
3;07.08.2011;0,4138891
4;07.08.2011;1251,706
5;07.08.2011;202,604
6;07.08.2011;0,494
7;07.08.2011;18,8
8;07.08.2011;48,45361
9;07.08.2011;1,163317
10;07.08.2011;1,11992
11;07.08.2011;0,9996622
12;07.08.2011;0,5369815
13;07.08.2011;0,3457414
14;07.08.2011;0,7038281
15;07.08.2011;3,774708
20;07.08.2011;0,1682553
21;07.08.2011;4,609017
22;07.08.2011;4,996968
23;07.08.2011;2,819565
24;07.08.2011;643,1578
25;07.08.2011;0,1461333
26;07.08.2011;330,2815
28;07.08.2011;41,36546
29;07.08.2011;64
30;07.08.2011;3136,746
31;07.08.2011;3,174457
34;07.08.2011;28,49671
35;07.08.2011;444,8703
36;07.08.2011;0,959799
37;07.08.2011;0,9297189
38;07.08.2011;8,383725
39;07.08.2011;28,78788
40;07.08.2011;1,0186
41;07.08.2011;1,237417
42;07.08.2011;1,022937
43;07.08.2011;11,6
44;07.08.2011;0,45
45;07.08.2011;0,3
46;07.08.2011;0,5
47;07.08.2011;89,2
48;07.08.2011;8,1
49;07.08.2011;34,96918
50;07.08.2011;57,28856
51;07.08.2011;1853,482
52;07.08.2011;4,084042
53;07.08.2011;1335,845
54;07.08.2011;2241,582
55;07.08.2011;410,8738
1;07.08.2011;1,369095
